Classes;Total;Homens;Mulheres;Total_URB;Homens_URB;Mulheres_URB;Total_RUR;Homens_RUR;Mulheres_RUR                                                                                                                                                
0 a 4 anos;14665;7387;7278;11667;5899;5768;2999;1488;1510
5 a 9 anos;17020;8688;8332;13585;6942;6642;3435;1746;1689
10 a 14 anos;17216;8799;8416;13645;6931;6713;3571;1868;1703
15 a 19 anos;17754;8968;8786;14407;7183;7224;3347;1786;1562
20 a 24 anos;17338;8678;8660;14624;7225;7398;2715;1453;1262
25 a 29 anos;15483;7531;7952;13172;6328;6844;2310;1203;1107
30 a 34 anos;13871;6743;7129;11743;5645;6098;2128;1097;1031
35 a 39 anos;13177;6253;6924;11171;5226;5946;2006;1028;978
40 a 44 anos;12443;5982;6461;10574;4991;5583;1869;991;878
45 a 49 anos;10941;5156;5785;9348;4313;5035;1593;843;750
50 a 54 anos;9165;4337;4829;7777;3625;4152;1389;712;677
55 a 59 anos;7250;3408;3842;5992;2746;3247;1258;662;596
60 a 64 anos;5594;2585;3009;4622;2058;2564;972;527;446
65 a 69 anos;4491;2029;2462;3721;1627;2095;770;402;368
70 anos ou mais;8129;3374;4754;6791;2686;4105;1338;689;649
Idade ignorada;62;36;26;55;30;24;8;6;1