Classes;Total_10_anos;Homens_10_anos;Mulheres_10_anos;Total_media_10_anos;Homens_media_10_anos;Mulheres_media_10_anos
Até 1/2 salário mínimo;11989;4047;7942;83;90;80
Mais de 1/2 a 1 salário mínimo;26297;12381;13915;277;274;279
Mais de 1 a 2 salários mínimos;29704;16637;13068;464;469;457
Mais de 2 a 3 salários mínimos;11179;7104;4075;763;764;760
Mais de 3 a 5 salários mínimos;10476;6734;3743;1191;1193;1188
Mais de 5 a 10 salários mínimos;6837;4385;2452;2181;2197;2152
Mais de 10 a 20 salários mínimos;2586;1735;851;4350;4373;4303
Mais de 20 salários mínimos;1025;800;225;10530;10718;9858
Sem rendimento (2);51633;19323;32310;;;
Sem declaração;1189;733;456;;;